1/19/26,Purchase Price,Live Date,Website,Niche,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,Count
Expired - DR Boosting,10.99,10/3/2025,talk2leeloo.com,"Gaming, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$105.00,$70.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$65.00,$0.00,$10.00,,,,,,,,,,,,$250.00,11
Purchased Domain,$10.00,12/3/2024,fudbollibre.com,"Goalkeeping Skills, Football Strategies, Fan Culture",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$49.00,$0.00,$84.00,$0.00,$0.00,$105.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$84.00,,,,,,,,,,,,$322.00,13
Purchased Domain,$11.28,4/8/2025,naturegrovecottage.com,Home,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$158.00,$80.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$238.00,10
Expired - DR Boosting,$10.00,28/1/2025,rabbittmedia.com,"Digital Marketing, Content Strategy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$106.75,$0.00,$40.00,$28.00,$28.00,$0.00,$0.00,$0.00,$35.00,$0.00,$30.00,$0.00,,,,,,,,,,,,$267.75,12
Purchased Domain,$10.00,13/1/2025,banditvoice.com,"Sound Vibes, Music Hype, Audio Equipment",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$85.00,$0.00,$15.00,$56.00,$25.00,$55.00,$0.00,$0.00,$0.00,$0.00,$24.50,$0.00,,,,,,,,,,,,$260.50,12
Bought - 1Authority,$11.28,5/24/2025,lillotnyc.com,"Streetwear, Casual Wear, Accessories",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$46.00,$0.00,$0.00,$0.00,$80.00,$0.00,$0.00,,,,,,,,,,,,$126.00,8
1 authority expired,$11.01,7/29/2025,onlineveterinarypractice.com,"AI, Tech Reviews, VR",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$70.00,$164.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$234.00,6
1Authority,$11.01,7/29/2025,games-hacks.org,"Racing Games, Indie Games, PC Gaming",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$135.00,$75.00,$21.00,$0.00,$0.00,$20.00,,,,,,,,,,,,$251.00,6
Expired - DR Boosting,$10.00,20/2/2025,steveblakebasketball.com,"Sports,Basketball",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$100.00,$130.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$230.00,11
Purchased Domain,$11.28,4/14/2025,ultimateplayzone.net,Gaming,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$150.00,$80.00,$0.00,$0.00,$0.00,$0.00,$10.00,$0.00,$0.00,,,,,,,,,,,,$240.00,9
Expired - DR Boosting,10.99,28/1/2025,upnabove.com,"Aerospace,Defense Technology",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$76.50,$123.00,$0.00,$0.00,$0.00,$0.00,$29.00,$0.00,$0.00,,,,,,,,,,,,$258.50,11
Purchased Domain,$10.00,9/5/2024,icaiorg.net,"Finance, Tax Strategies, Study Guides",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$32.00,$18.00,$60.00,$0.00,$73.00,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$228.00,17
Purchased Domain,$10.00,12/3/2024,gadgetsguruz.com,Gadgets & Tech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$180.00,$0.00,$48.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$228.00,14
Purchased Domain,$10.00,20/2/2025,pokedata.net,"Console, Mobile & PC Gaming",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$45.00,$183.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$228.00,12
Purchased Domain,$10.00,25/2/2025,arcadebattlezone.com,Gaming,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$177.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,$0.00,$0.00,,,,,,,,,,,,$227.00,11
Purchased Domain,$11.28,5/7/2025,naturesgrovehome.com,Gardening,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$76.00,$30.00,$30.00,$0.00,$0.00,$30.00,$60.00,$0.00,$0.00,,,,,,,,,,,,$226.00,9
Expired - DR Boosting,$10.00,12/3/2024,ababyproduct.com,"Parenting, Baby Products",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$35.00,$50.00,$0.00,$17.50,$0.00,$0.00,$0.00,$0.00,$30.00,$0.00,$0.00,$93.50,$116.50,$114.75,,,,,,,,,,,,$457.25,14
1Authority,$11.01,7/29/2025,easyengineerring.net,"School Counseling, Learning Disabilities, Online Learning",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$82.00,$143.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$225.00,6
Purchased Domain,$11.28,3/26/25,springbloomyard.com,Gardening,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$64.00,$66.00,$40.00,$21.00,$0.00,$0.00,$0.00,$63.00,$57.00,$0.00,,,,,,,,,,,,$311.00,10
Authorityclonepressdomains,$11.28,8/14/2025,theamericanfriend.com,"Beauty, Smart Home Tech, Parenting",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$85.00,$35.00,$0.00,$30.00,$0.00,,,,,,,,,,,,$150.00,5
Bought - 1Authority,$11.28,5/31/2025,halfmoonandsevenstars.com,"Photography, Modern Art, Street Art",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$50.00,$0.00,$0.00,$0.00,$65.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$115.00,8
Bought - 1Authority,$11.28,5/24/2025,nicolelmichel.com,"Travel, Self-Care, DIY Projects",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$110.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$110.00,7
Purchased Domain,$11.28,25/2/2025,myeducationdata.net,Education,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$140.00,$35.00,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,$45.00,$50.00,,,,,,,,,,,,$315.00,10
Authorityclonepressdomains,$11.28,7/29/2025,frutacrush.com,Gaming,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$39.00,$70.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$109.00,6
Expired - DR Boosting,10.99,3/26/25,wofficesupport.com,"Home Office, Gadgets, Tech Setup",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20.00,$25.00,$42.00,$51.00,$0.00,$40.00,$41.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$219.00,10
,,25/2/2025,rivenis.net,Art & Design,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$0.00,$0.00,$108.50,$0.00,$0.00,$0.00,$70.00,$0.00,$0.00,$70.00,,,,,,,,,,,,$288.50,11
Purchased Domain,$10.00,20/2/2025,wrestleshop.net,Sports,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$15.00,$65.00,$0.00,$0.00,$0.00,$22.50,$26.25,$0.00,$89.50,$21.00,$45.00,$0.00,,,,,,,,,,,,$284.25,12
Authorityclonepressdomains,$11.28,7/29/2025,dantepowell.com,"Digital Tools, Side Hustles, Mental Health",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$36.00,$60.00,$0.00,$0.00,$0.00,$90.00,,,,,,,,,,,,$186.00,6
Expired - DR Boosting,$10.00,20/2/2025,habsunfiltered.net,Sports,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$216.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$216.00,11
Expired - DR Boosting,$10.00,20/12/2024,thriftstory.org,"Budget Fashion, Upcycling, Thrift Shopping",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.00,$30.00,$0.00,$0.00,$78.50,$0.00,$38.00,$0.00,$0.00,$45.00,$0.00,$0.00,,,,,,,,,,,,$215.50,12
Purchased Domain,$10.00,12/3/2024,improveville.com,"Self-Improvement, Healthy Living, Productivity Hacks",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$50.00,$90.00,$0.00,$40.00,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$115.00,,,,,,,,,,,,$330.00,13
Purchased Domain,$10.00,25/2/2025,verdantgardencottage.com,Gardening,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$160.00,$0.00,$0.00,$55.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$215.00,11
Purchased Domain,$11.28,4/8/2025,yieldgreat.net,Self Improvement,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$36.00,$65.00,$0.00,$48.75,$0.00,$0.00,$65.00,$65.00,$0.00,,,,,,,,,,,,$279.75,9
Expired - DR Boosting,$10.00,20/12/2024,wedopodcast.com,"Podcasting, Social Media",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$137.50,$67.00,$0.00,$0.00,$0.00,$10.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$214.50,13
Purchased Domain,$11.28,26/3/2025,flourishingfieldgarden.com,Gardening,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$84.00,$0.00,$130.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$214.00,10
Purchased Domain,$10.00,20/2/2025,iamngn.com,"Tech, Blockchain",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$154.75,$0.00,$0.00,$0.00,$0.00,$30.00,$26.25,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$211.00,11
Purchased Domain,$11.28,25/2/2025,florahearthome.com,Outdoor and Gardens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$17.50,$65.00,$128.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$210.50,11
Expired - DR Boosting,$10.00,12/11/2024,orwellianmathproject.com,"Education, Learning",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$30.00,$60.00,$48.00,$0.00,$42.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$210.00,14
Purchased Domain,$11.28,4/14/2025,blossomhavenhome.com,"Home Innovations, Interior Design",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,$80.00,$0.00,$0.00,$0.00,$40.00,$0.00,$50.00,$0.00,$0.00,,,,,,,,,,,,$210.00,10
Expired DR,$11.28,12/19/24,joker123bo.com,"Casino Games, Slot Machines, and Roulette",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$70.00,$0.00,$0.00,$0.00,$0.00,$140.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$210.00,9
Purchased Domain,$11.28,4/8/2025,herbnookcottage.com,Gardening,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$25.00,$35.00,$0.00,$0.00,$150.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$210.00,10
Purchased Domain,$11.28,4/8/2025,growersnestgarden.com,Gardening,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,$0.00,$0.00,$0.00,$50.00,$120.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$210.00,10
Purchased Domain,$11.28,4/14/2025,bloomyardcottage.com,"Gardening, Landscaping",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$46.50,$25.00,$54.00,$0.00,$0.00,$0.00,$84.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$209.50,10
Purchased Domain,$10.00,8/9/2024,conversationswithtea.com,"Health, Wellness, Lifestyle",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$0.00,$0.00,$0.00,$0.00,$40.00,$30.00,$21.00,$51.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$77.00,$30.00,,,,,,,,,,,,$314.00,18
Expired - DR Boosting,$10.00,20/12/2024,essec-kpmg.net,Finance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$56.00,$0.00,$76.50,$0.00,$0.00,$0.00,$45.50,$25.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$203.00,12
,,4/8/2025,retroplaygroundzone.com,Fashion,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$83.00,$0.00,$0.00,$120.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$203.00,10
Purchased Domain,$10.00,10/3/2025,prosportstrack.com,"Sports News, Analysis",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$162.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$202.00,11
Purchased Domain,$10.00,12/3/2024,lrjgc.com,"Engineering News, Project Management, Construction Trends",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$59.00,$35.00,$0.00,$0.00,$0.00,$28.00,$30.00,$20.00,$0.00,$0.00,$30.00,$0.00,$0.00,,,,,,,,,,,,$202.00,13
Purchased Domain,$10.00,13/1/2025,fabricconfirm.com,"Textiles, Sustainable Fashion, Fashion Design",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$53.00,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$108.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$201.00,13
Expired - DR Boosting,$10.00,12/3/2024,mythicpacificretreat.com,Travel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$45.00,$0.00,$44.00,$21.00,$40.00,$25.00,$0.00,$25.50,$0.00,$0.00,$0.00,$0.00,$30.00,$0.00,,,,,,,,,,,,$230.50,14
Purchased Domain,$10.00,12/3/2024,gamingvoyage.com,"Retro Gaming, Game Design, Playstyle Hacks",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$100.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$200.00,14
Purchased Domain,$11.28,4/8/2025,gamingclasharena.com,Art & Design,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$125.00,$0.00,$0.00,$75.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$200.00,10
Expired - DR Boosting,$10.00,12/3/2024,mustardseedyear.com,Food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$117.00,$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$200.00,14
Purchased Domain,$10.00,23/1/2025,themommylabs.com,"Parenting, Wellness",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$102.00,$17.50,$0.00,$0.00,$0.00,$30.00,$0.00,$50.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$199.50,12
Expired - DR Boosting,$10.00,20/2/2025,kienthucnhadat.net,"Digital Marketing, SEO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$42.00,$21.00,$30.00,$0.00,$0.00,$105.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$198.00,12
Expired - DR Boosting,$10.00,12/11/2024,clinicaelcarretero.com,"Pet Care, Training, and Nutrition",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$100.00,$0.00,$50.00,$0.00,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$195.00,13
Purchased Domain,$11.28,4/8/2025,newsstreamtracker.com,Technology,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$195.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$195.00,10
Bought - 1Authority,$11.28,6/10/2025,undercoverpilgrim.com,"Luxury Travel, Budget Travel, Family Travel",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$70.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$95.00,7
Bought - 1Authority,$11.28,5/29/2025,growyourbusinessnetwork.com,"Import/Export, Content Marketing, Business Planning",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$28.00,$45.00,$21.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$94.00,9
1Authority,$11.01,5/24/2025,ridethewaveoflife.com,"Life Hacks, Social Life, Personal Growth",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$109.00,$84.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$193.00,6
Authorityclonepressdomains,$11.28,7/29/2025,samedaytradeframes.com,Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$54.00,$0.00,$35.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$89.00,6
Purchased Domain,$11.28,4/8/2025,esportstourney.net,Outdoor and Gardens,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$116.75,$0.00,$0.00,$75.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$191.75,10
Bought - 1Authority,$11.28,5/24/2025,lexarphotorecovery.com,"AI, Software, Tech, Networks",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$63.00,$25.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$88.00,8
Expired - DR Boosting,$10.00,25/2/2025,strongerwiththyme.com,"Health, Nutrition",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$110.00,$0.00,$0.00,$0.00,$80.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$190.00,11
Purchased Domain,$11.28,10/3/2025,ultimatesportfocus.net,Sport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.00,$60.00,$110.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$0.00,,,,,,,,,,,,$290.00,11
Purchased Domain,$11.28,4/8/2025,botanicahaven.com,Gardening,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$50.00,$70.00,$70.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$190.00,9
Purchased Domain,$11.28,4/21/2025,leafandbrick.com,"Gardening, Plants",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$15.00,$25.00,$0.00,$150.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$190.00,9
Expired - DR Boosting,$10.00,12/3/2024,gtchgth.com,Gaming,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$97.50,$90.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$187.50,13
Expired - DR Boosting,$10.00,28/1/2025,thetightropepodcast.com,"Mobile Apps, Podcasts, Social Media",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$116.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$71.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$187.00,12
1AuthoritylinkswithKW,$11.28,7/29/2025,vernonjordan.com,"Lifestyle, Movies, DIY",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$85.00,$52.50,$49.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$186.50,7
Expired - Vaibhav,$12.00,11/7/2024,thecurrentonline.net,"News, Economy, Science",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$115.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$70.00,$0.00,$0.00,,,,,,,,,,,,$185.50,15
Purchased Domain,$11.28,4/14/2025,pinehollowridge.com,"Design Inspiration, Indoor Plants",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$145.00,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$185.00,10
1Authority,$11.01,7/29/2025,outsideguygear.com,"DIY Projects, Outdoor Living, Home Renovation",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.00,$25.00,$0.00,$140.00,$0.00,$0.00,,,,,,,,,,,,$185.00,6
Expired - DR Boosting,$10.00,13/1/2025,gameslot545.com,"Gaming, Esports, iGaming",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$90.60,$56.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$37.50,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$184.10,13
1Authority,$11.01,7/29/2025,burimefilm.com,"Public Relations, Crisis Communication, Advertising",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$39.00,$85.00,$59.50,$0.00,$0.00,$0.00,,,,,,,,,,,,$183.50,6
