1/19/26,Purchase Price,Live Date,Website,Niche,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,Count
Expired - Odys,-,Feb 2022 or earlier,thinkofgames.com,"Gaming, Tech",-,$587.50,"$2,149.00",$775.00,"$1,265.00","$1,562.38","$1,390.00","$1,246.00","$2,070.18",$987.50,"$1,260.75",$210.00,"$1,030.00","$1,459.00","$1,289.18",$555.00,$376.29,"$1,151.00",$795.00,$887.00,"$1,270.23",$620.00,$935.00,$466.09,"$3,429.00","$1,577.00","$2,685.50","$3,425.00","$3,076.25","$2,160.75","$4,750.12","$2,530.25","$4,103.00","$3,338.00","$2,150.00","$3,549.77","$6,068.00","$4,135.86","$4,227.50","$5,762.50","$3,701.50","$3,014.50","$3,077.50","$4,563.50","$4,651.50","$6,020.00","$4,616.25","$4,544.00","$1,396.50",,,,,,,,,,,,"$116,890.85",48
Expired - Vaibhav,$12.00,2/1/2023,home-hearted.com,Home,-,-,-,-,-,-,-,-,-,-,-,-,-,$400.00,"$1,345.00",$465.00,$749.00,$826.00,"$1,060.00","$1,031.00","$1,350.00","$2,204.00","$3,352.50","$4,301.00","$5,817.50","$6,164.50","$2,430.67",$30.00,"$7,456.95","$10,476.65","$8,387.00","$5,907.09","$4,644.00","$4,695.64","$3,409.00","$2,285.40","$3,291.00","$3,998.50","$6,329.00","$4,567.50","$2,747.00","$2,790.00","$1,089.00","$1,070.50",$945.00,"$1,586.00","$1,357.00","$1,213.00",$362.00,,,,,,,,,,,,"$110,133.40",36
Bought - Vaibhav,"$1,500.00",Jan 2022 or earlier,undergrowthgames.com,"Gaming, Tech","$2,294.00","$2,169.00","$4,616.47","$3,033.34","$4,030.00","$3,661.48","$3,472.56","$3,175.00","$5,805.06","$4,075.00","$2,268.00","$1,825.00",$680.00,"$1,512.00","$1,730.00",$245.00,$330.00,"$1,963.00","$1,048.68","$4,963.50","$3,032.20","$4,030.83","$7,678.00","$1,799.00","$2,292.30","$1,600.00","$1,386.00",$632.00,$852.70,"$1,430.30","$2,658.00","$1,401.50","$1,685.00","$1,621.50","$1,438.00","$1,551.50","$2,791.00","$3,451.00","$1,743.00","$1,111.00","$1,969.00","$3,712.50","$1,439.00",$299.00,"$1,047.00","$1,187.00","$1,389.00",$922.50,$112.00,,,,,,,,,,,,"$109,158.92",49
Expired - Odys,$390.00,March 2022 or earlier,thehake.com,"Gaming, Tech",-,-,$80.00,$140.00,"$1,171.00","$1,730.00",$700.00,"$1,722.00","$1,867.00","$2,045.50","$2,231.00","$4,740.00","$2,275.00","$5,676.19","$3,792.90","$2,641.00","$3,310.48","$2,071.71","$2,909.04","$2,617.22","$3,204.00","$3,359.00","$6,287.00","$3,435.00","$5,365.07","$3,274.00","$1,996.50",$889.50,"$1,830.30","$1,097.90",$609.38,$857.00,$939.00,$625.14,$168.00,$535.00,"$1,685.00","$1,469.32","$2,749.00","$2,593.00","$3,429.75","$2,040.00","$2,524.17","$2,053.53","$2,914.50","$3,965.50","$2,646.00","$2,919.00",$776.00,,,,,,,,,,,,"$107,956.60",47
Expired - Odys,$630.00,Jan 2022 or earlier,hearthstats.net,"Gaming, Tech","$1,567.50","$2,455.00","$3,340.00","$2,437.00","$2,760.00","$4,732.00","$2,859.00","$3,870.00","$3,291.00","$1,481.00",$703.50,"$1,751.00","$1,981.00","$1,575.00",$742.50,$205.00,$205.00,$580.00,$662.00,"$1,722.10","$1,342.40","$1,052.00","$1,516.00","$4,395.00","$5,823.50","$5,074.00","$2,855.00","$1,446.00",$896.60,"$1,055.00","$1,166.50","$2,437.50","$2,193.00","$2,782.50","$1,350.50","$1,087.00","$4,029.00","$2,708.25",$732.50,$228.50,$852.50,"$1,634.50","$1,417.50","$2,006.50","$1,718.75","$4,927.75","$5,044.50","$3,564.38",$697.00,,,,,,,,,,,,"$104,953.73",49
Expired - Vaibhav,$12.00,4/5/2024,redandwhitemagz.com,"Business, Finance, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$721.00,"$1,436.00","$1,778.00","$2,192.00","$4,747.00","$7,001.00","$8,328.86","$3,668.56","$5,118.00","$7,269.25","$7,233.50","$8,342.80","$6,438.00","$7,043.00","$5,801.00","$4,275.00","$3,387.00","$4,228.00","$5,194.00","$4,641.00","$4,698.50","$1,258.00",,,,,,,,,,,,"$104,799.47",22
Expired - Vaibhav,$12.00,June 2022 or earlier,healthsciencesforum.com,"Health, Fitness",-,-,-,-,-,$95.00,$195.00,$205.00,$715.00,$337.50,$66.00,$323.00,$510.00,$296.50,$806.00,$220.00,$15.00,$45.00,$743.00,$759.00,$838.00,$328.00,$285.00,$80.00,$355.00,$450.00,$390.00,"$1,894.00","$2,052.28","$5,467.00","$3,488.38","$2,595.00","$3,153.00","$2,643.00","$3,911.00","$3,263.00","$5,625.00","$4,756.00","$7,087.50","$7,373.00","$4,272.00","$5,720.25","$6,402.49","$4,798.00","$6,613.00","$4,892.00","$3,485.00","$4,079.00","$1,687.00",,,,,,,,,,,,"$103,313.90",44
Expired - Vaibhav,$12.00,Sept 2022 or earlier,electronmagazine.com,"Gaming, Tech, Entertainment",-,-,-,-,-,-,-,-,$55.00,$125.00,$71.00,$100.00,$145.00,$100.00,$496.00,$270.00,$50.00,$261.00,$590.50,$287.60,$214.40,$336.00,$899.00,"$1,728.00","$2,435.50","$2,705.00","$2,303.00","$3,837.85","$4,411.10","$3,700.20","$4,043.00","$5,355.00","$6,561.09","$4,695.50","$3,700.50","$3,166.92","$6,154.50","$1,622.50","$4,114.12","$4,219.00","$4,513.50","$4,122.00","$3,715.50","$2,820.54","$3,071.00","$3,933.00","$2,761.00","$2,172.00",$865.00,,,,,,,,,,,,"$96,726.82",41
Expired - Odys,-,Sept 2022 or earlier,thestripesblog.com,"General, Gaming, Tech, Travel, Business, Finance, Crypto, Sports and entertainment",-,-,-,-,-,-,-,-,$35.00,$100.00,$412.00,$50.00,$250.00,$286.00,$50.00,$85.00,$0.00,$163.00,$219.00,$549.00,$232.40,"$1,250.50","$2,139.00","$1,952.00","$1,717.50","$2,002.00","$3,731.00","$2,853.00","$3,780.45","$3,098.10","$4,276.47","$3,018.09","$2,372.00","$2,775.59","$2,823.00","$3,179.50","$5,388.00","$5,721.21","$5,386.00","$5,171.71","$3,654.00","$4,113.50","$3,402.00","$4,485.00","$4,268.49","$4,584.50","$3,863.00","$3,464.50","$1,211.00",,,,,,,,,,,,"$98,112.51",41
Expired - Vaibhav,$12.00,May 2022 or earlier,mygreenbucks.net,"Business, Finance",-,-,-,-,$260.00,$250.00,$40.00,$141.00,$375.00,$250.00,$136.00,$435.00,$188.50,$30.00,$315.00,$45.00,$125.00,$130.00,$362.50,$170.00,$180.20,$70.00,$35.00,$125.00,$33.00,$75.00,$298.00,"$1,367.50","$1,833.70","$1,828.50","$4,688.38","$4,134.25","$4,943.50","$3,091.00","$3,409.89","$5,092.23","$7,909.71","$5,279.50","$4,396.00","$5,129.00","$4,783.50","$4,451.50","$2,651.00","$4,582.00","$5,128.49","$5,904.00","$5,024.00","$4,546.50","$1,559.00",,,,,,,,,,,,"$95,802.35",45
